id,video_id,video_path,question,ground_truth,raw_prediction,normalized_ground_truth,normalized_prediction,patch_count,error_category,review_status,review_note
train_0608,ac7e937c_033_clip_005_0026_0032_N,/workspace/RoadBuddy/data/train/videos/ac7e937c_033_clip_005_0026_0032_N.mp4,"Trong video, hướng đi Công trường Mê Linh là hướng nào?",C. Rẽ phải ngã tư đầu tiên,B. Hướng đi thẳng,C,B,3,temporal_information_missing,needs_manual_review,Inspect the source video and revise this note.
train_0002,2b840c67_386_clip_002_0008_0018_Y,/workspace/RoadBuddy/data/train/videos/2b840c67_386_clip_002_0008_0018_Y.mp4,Phần đường trong video cho phép các phương tiện đi theo hướng nào khi đến nút giao?,"C. Đi thẳng, rẽ trái và rẽ phải",A. Đi thẳng,C,A,5,temporal_information_missing,needs_manual_review,Inspect the source video and revise this note.
train_1208,272c0588_202_clip_013_0087_0093_Y,/workspace/RoadBuddy/data/train/videos/272c0588_202_clip_013_0087_0093_Y.mp4,"Trong video này, tốc độ tối đa cho phép trên đoạn đường là bao nhiêu?",C. 100 km/h,B. 100 km/h,C,B,3,traffic_rule_knowledge,needs_manual_review,Inspect the source video and revise this note.
train_0086,a5e5a5ab_103_clip_004_0023_0033_Y,/workspace/RoadBuddy/data/train/videos/a5e5a5ab_103_clip_004_0023_0033_Y.mp4,Biển hiệu lệnh rẽ phải áp dụng cho loại phương tiện nào?,C. Ô tô,A. Xe tải,C,A,5,temporal_information_missing,needs_manual_review,Inspect the source video and revise this note.
train_1318,9716108e_557_clip_012_0077_0087_Y,/workspace/RoadBuddy/data/train/videos/9716108e_557_clip_012_0077_0087_Y.mp4,"Trong video, dựa vào biển báo cảnh báo hình tam giác, xe của bạn đang di chuyển trên loại đường nào?",C. Đường ưu tiên,B. Đường thẳng,C,B,3,temporal_information_missing,needs_manual_review,Inspect the source video and revise this note.
train_0263,c012a0ff_545_clip_004_0018_0027_N,/workspace/RoadBuddy/data/train/videos/c012a0ff_545_clip_004_0018_0027_N.mp4,Ý nghĩa các biển báo là gì?,D. Mốc khoảng cách an toàn,"B. Biển báo cấm, biển báo chỉ dẫn, biển báo cảnh báo",D,B,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_0548,28711733_447_clip_007_0041_0050_N,/workspace/RoadBuddy/data/train/videos/28711733_447_clip_007_0041_0050_N.mp4,"Trong video, biển tròn viền đỏ có ý nghĩa gì?",D. Biển cấm đỗ xe,A. Biển báo cấm đi ngược chiều,D,A,3,insufficient_frame,needs_manual_review,Inspect the source video and revise this note.
train_0292,6232b17a_545_clip_023_0168_0180_Y,/workspace/RoadBuddy/data/train/videos/6232b17a_545_clip_023_0168_0180_Y.mp4,Có bao nhiêu biển báo trong video?,D. 3,B. 3,D,B,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_1030,4d183eba_340_clip_004_0023_0033_Y,/workspace/RoadBuddy/data/train/videos/4d183eba_340_clip_004_0023_0033_Y.mp4,Có những nhóm biển báo nào xuất hiện trong video?,D. Tất cả đều đúng,"A. Biển báo cấm, biển báo giới hạn, biển báo cấm dừng, biển báo cấm đỗ, biển báo cấm đỗ",D,A,3,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
train_0030,27cd8130_136_clip_004_0020_0028_Y,/workspace/RoadBuddy/data/train/videos/27cd8130_136_clip_004_0020_0028_Y.mp4,"Trong video, có những loại biển báo nào","D. Biển chỉ dẫn, biển hiệu lệnh, biển cấm, biển phụ","A. Biển báo cấm, biển báo giới hạn, biển báo cảnh báo",D,A,5,visual_recognition,needs_manual_review,Inspect the source video and revise this note.
