sample_id,group_id,video_path,question,option_a,option_b,option_c,option_d,visual_required,temporal_required,traffic_knowledge_required,mixed_or_ambiguous,primary_label,annotator_note
train_0115,f071d879_345_clip_009_0054_0064_N,/workspace/RoadBuddy/data/train/videos/f071d879_345_clip_009_0054_0064_N.mp4,Biển báo màu xanh lá cây trong video này có ý nghĩa gì?,Báo khoảng cách đến lối ra phía trước,Báo hiệu khu vực cấm dừng đỗ bắt đầu từ vị trí này,Biển căn khoảng cách với các xe đi phía trước,Biển tốc độ tối thiểu cho phép,,,,,,
train_0116,f071d879_345_clip_009_0054_0064_N,/workspace/RoadBuddy/data/train/videos/f071d879_345_clip_009_0054_0064_N.mp4,"Trong video này, xe đang chạy còn cách cầu vượt đường sắt 200m đúng hay sai?",Đúng,Sai,,,,,,,,
train_0117,45b89cd9_345_clip_010_0064_0073_Y,/workspace/RoadBuddy/data/train/videos/45b89cd9_345_clip_010_0064_0073_Y.mp4,Đoạn đường trong video này có nút giao có đèn tín hiệu không?,Có,Không,,,,,,,,
train_0118,45b89cd9_345_clip_010_0064_0073_Y,/workspace/RoadBuddy/data/train/videos/45b89cd9_345_clip_010_0064_0073_Y.mp4,Biển tam giác vàng viền đỏ cảnh báo điều gì?,Cảnh báo có đường cáp điện phía trên,Cấm đi vào khu vực có sấm sét,Khu vực có trạm biến áp điện cao thế,Biển báo tốc độ giới hạn do sét gây ra,,,,,,
train_0119,45b89cd9_345_clip_010_0064_0073_Y,/workspace/RoadBuddy/data/train/videos/45b89cd9_345_clip_010_0064_0073_Y.mp4,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất,Biển cảnh báo đường cáp điện phía trên,Biển báo chiều cao an toàn 5m,Cả A và B,Chỉ có biển cảnh báo đường cáp điện phía trên,,,,,,
train_0120,4dc82a1e_345_clip_012_0081_0091_Y,/workspace/RoadBuddy/data/train/videos/4dc82a1e_345_clip_012_0081_0091_Y.mp4,"Trong video, biển báo đầu tiên nằm bên phải đoạn đường yêu cầu các phương tiện phải giữ điều kiện gì?",Giới hạn tốc độ tối đa 100 km/h,Khoảng cách tối thiểu 100 mét,Cấm đi quá 100 mét,Đường cấm xe trên 100 tấn,,,,,,
train_0121,4dc82a1e_345_clip_012_0081_0091_Y,/workspace/RoadBuddy/data/train/videos/4dc82a1e_345_clip_012_0081_0091_Y.mp4,"Trong video, biển báo đầu tiên nằm bên phải đoạn đường yêu cầu các phương tiện phải giữ giới hạn tốc độ tối đa 90 km/h, phải không?",Phải,Không phải,,,,,,,,
train_0134,8d03c91e_345_clip_019_0137_0147_Y,/workspace/RoadBuddy/data/train/videos/8d03c91e_345_clip_019_0137_0147_Y.mp4,Có các loại biển báo nào xuất hiện trong video?,"Biển báo cấm, biển báo chỉ dẫn","Biển báo hiệu lệnh, biển báo chỉ dẫn","Biển báo cấm, biển báo hiệu lệnh",Biển báo cấm,,,,,,
train_0135,8d03c91e_345_clip_019_0137_0147_Y,/workspace/RoadBuddy/data/train/videos/8d03c91e_345_clip_019_0137_0147_Y.mp4,Xe chạy với tốc độ 90km/h trên đoạn đường này có vi phạm luật giao thông không?,Có,Không,,,,,,,,
train_0136,8d03c91e_345_clip_019_0137_0147_Y,/workspace/RoadBuddy/data/train/videos/8d03c91e_345_clip_019_0137_0147_Y.mp4,Có tổng cộng bao nhiêu biển báo?,5,6,7,8,,,,,,
train_0137,bd21bc11_461_clip_008_0048_0056_Y,/workspace/RoadBuddy/data/train/videos/bd21bc11_461_clip_008_0048_0056_Y.mp4,Biển báo xuất hiện đầu tiên trong video thuộc loại biển báo nào?,Biển báo chỉ dẫn,Biển báo nguy hiểm,Biển báo cấm,Biển báo hiệu lệnh,,,,,,
train_0138,bd21bc11_461_clip_008_0048_0056_Y,/workspace/RoadBuddy/data/train/videos/bd21bc11_461_clip_008_0048_0056_Y.mp4,Xe sắp đi đến đoạn đường ngoặt trái đúng không?,Đúng,Không,,,,,,,,
train_0141,746cdb77_461_clip_014_0092_0102_Y,/workspace/RoadBuddy/data/train/videos/746cdb77_461_clip_014_0092_0102_Y.mp4,Trong video có bao nhiêu loại biển báo?,1,2,3,Không có,,,,,,
train_0142,746cdb77_461_clip_014_0092_0102_Y,/workspace/RoadBuddy/data/train/videos/746cdb77_461_clip_014_0092_0102_Y.mp4,Đường có 3 làn phải không?,Phải,Không,,,,,,,,
train_0157,a9ab364a_015_clip_016_0103_0112_Y,/workspace/RoadBuddy/data/train/videos/a9ab364a_015_clip_016_0103_0112_Y.mp4,"Trong video, đi theo lối ra thì tốc độ tối đa được phép là bao nhiêu?",80km/h,90km/h,100km/h,120km/h,,,,,,
train_0158,a9ab364a_015_clip_016_0103_0112_Y,/workspace/RoadBuddy/data/train/videos/a9ab364a_015_clip_016_0103_0112_Y.mp4,Các loại biển báo trong video là những loại nào?,"Biển báo phụ, Biển báo trên đường cao tốc","Biển báo phụ, Biển chỉ dẫn, Biển báo trên đường cao tốc","Biển chỉ dẫn, Biển báo trên đường cao tốc","Biển chỉ dẫn, Biển báo trên đường cao tốc",,,,,,
train_0159,a9ab364a_015_clip_016_0103_0112_Y,/workspace/RoadBuddy/data/train/videos/a9ab364a_015_clip_016_0103_0112_Y.mp4,Biển báo tốc độ tối đa cho phép trong video là bao nhiêu?,60 km/h,80 km/h,100 km/h,120 km/h,,,,,,
train_0162,a66fd7f7_015_clip_018_0117_0123_Y,/workspace/RoadBuddy/data/train/videos/a66fd7f7_015_clip_018_0117_0123_Y.mp4,"Trong video, biển báo nguy hiểm ""Hạn chế chiều cao"" bao nhiêu mét?",3,4,5,5.5,,,,,,
train_0163,a66fd7f7_015_clip_018_0117_0123_Y,/workspace/RoadBuddy/data/train/videos/a66fd7f7_015_clip_018_0117_0123_Y.mp4,"Theo biển báo các phương tiện không được phép di chuyển với tốc độ dưới 80 km/h, đúng hay sai?",Đúng,Sai,,,,,,,,
train_0164,a66fd7f7_015_clip_018_0117_0123_Y,/workspace/RoadBuddy/data/train/videos/a66fd7f7_015_clip_018_0117_0123_Y.mp4,"Trong video, hướng di chuyển sang cao tốc Phan Thiết Dầu Dây thì đi hướng nào?",Đi thẳng,Rẽ trái,Rẽ phải,Vòng quay đầu,,,,,,
train_0166,980402a2_015_clip_020_0129_0139_Y,/workspace/RoadBuddy/data/train/videos/980402a2_015_clip_020_0129_0139_Y.mp4,Nội dung của 2 biển báo nguy hiểm xuất hiện trong video là gì?,"Chỗ ngoặt nguy hiểm vòng bên phải, chiều cao tĩnh không thực tế là 5.0 m","Chỗ ngoặt nguy hiểm vòng bên trái, chiều cao tĩnh không thực tế là 5.0 m","Chỗ ngoặt nguy hiểm vòng bên phải, cảnh báo giới hạn chiều cao là 5.0 m","Chỗ ngoặt nguy hiểm vòng bên trái, cảnh báo giới hạn chiều cao là 5.0 m",,,,,,
train_0167,980402a2_015_clip_020_0129_0139_Y,/workspace/RoadBuddy/data/train/videos/980402a2_015_clip_020_0129_0139_Y.mp4,Trong video không xuất hiện loại biển báo nào sau đây?,Biển phụ,Biển chỉ dẫn,Biển cấm,Biển báo nguy hiểm,,,,,,
train_0168,980402a2_015_clip_020_0129_0139_Y,/workspace/RoadBuddy/data/train/videos/980402a2_015_clip_020_0129_0139_Y.mp4,"Trong video, có xuất hiện biển báo hiệu lệnh không?",Có,Không,,,,,,,,
train_0182,83e96ef4_164_clip_009_0052_0062_Y,/workspace/RoadBuddy/data/train/videos/83e96ef4_164_clip_009_0052_0062_Y.mp4,Có những biển báo nào xuất hiện trong video,"Cấm dừng cấm đỗ, biển cảnh báo giới hạn chiều cao, biển hướng dẫn nhập làn, biển cấm rẽ phải và quay đầu","Cấm dừng cấm đỗ, biển cảnh báo giới hạn chiều cao, biển hướng dẫn nhập làn, biển cấm rẽ phải","Biển cảnh báo giới hạn chiều cao, biển hướng dẫn nhập làn, biển cấm rẽ phải và quay đầu","Cấm dừng cấm đỗ, biển cảnh báo giới hạn chiều cao, biển hướng dẫn nhập làn, biển cấm quay đầu",,,,,,
train_0183,83e96ef4_164_clip_009_0052_0062_Y,/workspace/RoadBuddy/data/train/videos/83e96ef4_164_clip_009_0052_0062_Y.mp4,"Trong video này, biển báo cấm đầu tiên bên tay phải mang ý nghĩa gì?",Cấm rẽ phải và quay đầu xe,Cấm rẽ trái và quay đầu xe,Cấm quay đầu xe,Cả 3 đáp án trên đều đúng,,,,,,
train_0184,bdc14f1f_164_clip_011_0071_0078_Y,/workspace/RoadBuddy/data/train/videos/bdc14f1f_164_clip_011_0071_0078_Y.mp4,"Theo biển báo như trong video, phương tiện được phép lưu thông trên tuyến đường này phải tuân thủ quy định nào về tốc độ?",Không được chạy quá 120 km/h và không được dưới 60 km/h.,"Được phép chạy tối đa 100 km/h, không giới hạn tốc độ tối thiểu.","Tốc độ tối đa 80 km/h, tối thiểu 40 km/h.",Không có quy định về tốc độ tối thiểu.,,,,,,
train_0185,bdc14f1f_164_clip_011_0071_0078_Y,/workspace/RoadBuddy/data/train/videos/bdc14f1f_164_clip_011_0071_0078_Y.mp4,"Theo biển báo như trong video, phương tiện được phép lưu thông trên tuyến đường này phải tuân thủ quy định không được chạy quá 120 km/h và không được dưới 60 km/h. Đúng hay sai?",Đúng,Sai,,,,,,,,
train_0186,bdc14f1f_164_clip_011_0071_0078_Y,/workspace/RoadBuddy/data/train/videos/bdc14f1f_164_clip_011_0071_0078_Y.mp4,Biển báo lớn màu xanh lá cho biết những thông tin gì?,"Tuyến đường cao tốc Long Thành – Dầu Giây, tốc độ tối đa 120 km/h và tối thiểu 60 km/h.","Tuyến quốc lộ Long Thành – Dầu Giây, tốc độ tối thiểu 60 km/h.","Đường nội đô Long Thành – Dầu Giây, giới hạn tốc độ tối đa 120 km/h.",Đường cao tốc Long Thành – Dầu Giây,,,,,,
train_0191,72ecf16e_164_clip_025_0164_0174_N,/workspace/RoadBuddy/data/train/videos/72ecf16e_164_clip_025_0164_0174_N.mp4,"Trong trường hợp không xảy ra tai nạn, sự cố khẩn cấp thì mình có được điện thoại vào số điện thoại khẩn cấp trên biển báo hay không?",Không,Có,,,,,,,,
train_0192,72ecf16e_164_clip_025_0164_0174_N,/workspace/RoadBuddy/data/train/videos/72ecf16e_164_clip_025_0164_0174_N.mp4,Biển báo xuất hiện đầu tiên trong video dùng để làm gì?,Cung cấp số điện thoại lúc khẩn cấp khi có tai nạn,Cung cấp số điện thoại lúc khẩn cấp khi có sự cố nghiêm trọng,Cung cấp số điện thoại ban quản lý tuyến đường,Cả A và B,,,,,,
train_0193,72ecf16e_164_clip_025_0164_0174_N,/workspace/RoadBuddy/data/train/videos/72ecf16e_164_clip_025_0164_0174_N.mp4,Các biển báo trong video thuộc nhóm biển báo nào?,Biển hiệu lệnh,Biển chỉ dẫn,Biển báo phụ,Biển báo trên đường cao tốc,,,,,,
train_0199,ebc2026f_495_clip_013_0090_0098_N,/workspace/RoadBuddy/data/train/videos/ebc2026f_495_clip_013_0090_0098_N.mp4,"Trong video, có phải xuất hiện biển chỉ dẫn giữ khoảng cách lái xe an toàn và biển căn khoảng cách giữa các xe trên cao tốc không?",Phải,Không phải,,,,,,,,
train_0200,ebc2026f_495_clip_013_0090_0098_N,/workspace/RoadBuddy/data/train/videos/ebc2026f_495_clip_013_0090_0098_N.mp4,Biển báo nào sau đây xuất hiện trong video?,Biển căn khoảng cách giữa các xe trên cao tố,"Biển chỉ dẫn giữ khoảng cách lái xe an toàn, biển cấm đỗ",Biển báo cấm quay đầu,"Biển chỉ dẫn giữ khoảng cách lái xe an toàn, biển căn khoảng cách giữa các xe trên cao tốc",,,,,,
train_0228,4a5b1aff_202_clip_012_0082_0087_Y,/workspace/RoadBuddy/data/train/videos/4a5b1aff_202_clip_012_0082_0087_Y.mp4,Biển tốc độ tối đa cho phép chỉ áp dụng cho xe tải đúng hay sai?,Đúng,Sai,,,,,,,,
train_0229,4a5b1aff_202_clip_012_0082_0087_Y,/workspace/RoadBuddy/data/train/videos/4a5b1aff_202_clip_012_0082_0087_Y.mp4,Đoạn đường trong video có tốc độ tối đa cho phép là bao nhiêu?,70km/h,80km/h,90km/h,100km/h,,,,,,
train_0236,d2e82f38_202_clip_025_0168_0175_N,/workspace/RoadBuddy/data/train/videos/d2e82f38_202_clip_025_0168_0175_N.mp4,Biển báo trong video cho biết nút giao Long Thành cách bạn bao nhiêu mét?,200 mét,300 mét,400 mét,500 mét,,,,,,
train_0237,d2e82f38_202_clip_025_0168_0175_N,/workspace/RoadBuddy/data/train/videos/d2e82f38_202_clip_025_0168_0175_N.mp4,"Trong video không xuất hiện loại biển báo nào, đúng hay sai?",Đúng,Sai,,,,,,,,
train_0240,c35bec2c_240_clip_002_0005_0014_Y,/workspace/RoadBuddy/data/train/videos/c35bec2c_240_clip_002_0005_0014_Y.mp4,Biển báo đầu tiên xuất hiện là biển báo gì?,Biển chỉ dẫn sơ đồ lối ra một chiều,Biển báo hạn chế trọng lượng,Cầu vượt liên thông,Đường giao nhau,,,,,,
train_0241,c35bec2c_240_clip_002_0005_0014_Y,/workspace/RoadBuddy/data/train/videos/c35bec2c_240_clip_002_0005_0014_Y.mp4,"Biển báo đầu tiên xuất hiện là biển báo hạn chế trọng lượng, đúng hay sai?",Đúng,Sai,,,,,,,,
train_0246,10d08d11_240_clip_006_0033_0042_Y,/workspace/RoadBuddy/data/train/videos/10d08d11_240_clip_006_0033_0042_Y.mp4,Biển báo tròn trên cầu trong video là biển báo gì?,Biển báo hạn chế chiều cao 5 m,Biển báo hạn chế trọng lượng,Đường bị hẹp,Đường giao nhau,,,,,,
train_0247,10d08d11_240_clip_006_0033_0042_Y,/workspace/RoadBuddy/data/train/videos/10d08d11_240_clip_006_0033_0042_Y.mp4,"Trong video, biển báo cấm trên cầu là biển báo hạn chế chiều cao 4 m, phải không?",Phải,Không phải,,,,,,,,
train_0268,69ca97d2_545_clip_007_0047_0052_N,/workspace/RoadBuddy/data/train/videos/69ca97d2_545_clip_007_0047_0052_N.mp4,Ý nghĩa của các biển báo trên là gì?,Phạm vi tác dụng của biển,Khoảng cách biển báo,Mốc khoảng cách an toàn,Cự ly tối thiểu giữa hai xe,,,,,,
train_0269,69ca97d2_545_clip_007_0047_0052_N,/workspace/RoadBuddy/data/train/videos/69ca97d2_545_clip_007_0047_0052_N.mp4,"Trong video, tại thời điểm xe đang ở vị trí biển 0m cách xe container phía trước 50m đúng không?",Đúng,Sai,,,,,,,,
train_0272,f396ea37_545_clip_013_0092_0100_Y,/workspace/RoadBuddy/data/train/videos/f396ea37_545_clip_013_0092_0100_Y.mp4,Có bao nhiêu biển báo giao thông xuất hiện trong video?,0,1,2,3,,,,,,
train_0273,f396ea37_545_clip_013_0092_0100_Y,/workspace/RoadBuddy/data/train/videos/f396ea37_545_clip_013_0092_0100_Y.mp4,Có 2 biển báo giao thông xuất hiện trong video. Đúng hay sai?,Đúng,Sai,,,,,,,,
train_0274,f396ea37_545_clip_013_0092_0100_Y,/workspace/RoadBuddy/data/train/videos/f396ea37_545_clip_013_0092_0100_Y.mp4,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất.,"Biển báo chiều cao tối thiểu 5m, biển báo tốc độ tối thiểu 100km/h, biển cấm dừng đỗ","Biển báo chiều cao tĩnh không thực tế 5m, biển báo tốc độ tối đa 100km/h.","Biển báo chiều cao tĩnh không thực tế 5m, biển báo tốc độ tối đa 100km/h, biển phụ lối ra",Chỉ có biển báo tốc độ tối đa 100km/h.,,,,,,
train_0275,42c2d2eb_545_clip_014_0100_0108_Y,/workspace/RoadBuddy/data/train/videos/42c2d2eb_545_clip_014_0100_0108_Y.mp4,"Trên đoạn đường này, hai biển báo tốc độ tối đa cho phép lần lượt là bao nhiêu?",70 km/h và 90 km/h,60 km/h và 80 km/h,100 km/h và 80 km/h,100 km/h và 120 km/h,,,,,,
train_0276,42c2d2eb_545_clip_014_0100_0108_Y,/workspace/RoadBuddy/data/train/videos/42c2d2eb_545_clip_014_0100_0108_Y.mp4,"Trên đoạn đường này, hai biển báo tốc độ tối đa cho phép lần lượt là bao nhiêu?",70 km/h và 90 km/h,60 km/h và 80 km/h,100 km/h và 80 km/h,100 km/h và 120 km/h,,,,,,
train_0277,42c2d2eb_545_clip_014_0100_0108_Y,/workspace/RoadBuddy/data/train/videos/42c2d2eb_545_clip_014_0100_0108_Y.mp4,"Trên đoạn đường này, hai biển báo tốc độ tối đa cho phép lần lượt là 70 km/h và 90 km/h. Đúng hay sai?",Đúng,Sai,,,,,,,,
train_0278,386ecbe0_545_clip_015_0108_0118_Y,/workspace/RoadBuddy/data/train/videos/386ecbe0_545_clip_015_0108_0118_Y.mp4,Loại biển báo xuất hiện nhiều nhất trong video là loại biển báo nào?,Biển báo chỉ dẫn,Biển báo nguy hiểm,Biển báo trên đường cao tốc,Biển báo cấm,,,,,,
train_0279,386ecbe0_545_clip_015_0108_0118_Y,/workspace/RoadBuddy/data/train/videos/386ecbe0_545_clip_015_0108_0118_Y.mp4,Hai biển báo cấm loại phương tiện nào?,Cấm xe ôtô khách và xe ôtô tải,Cấm xe ôtô khách và xe sơ-mi-rơ-moóc,Cấm xe ôtô tải và xe máy,"Cấm xe ôtô tải trên 1,5 tấn và cấm xe ôtô khách trên 16 chỗ",,,,,,
train_0280,386ecbe0_545_clip_015_0108_0118_Y,/workspace/RoadBuddy/data/train/videos/386ecbe0_545_clip_015_0108_0118_Y.mp4,Loại biển báo xuất hiện nhiều nhất trong video là biển báo phụ. Đúng hay sai?,Đúng,Sai,,,,,,,,
train_0288,3cb98350_545_clip_020_0148_0158_Y,/workspace/RoadBuddy/data/train/videos/3cb98350_545_clip_020_0148_0158_Y.mp4,Có 3 biển báo giao thông trong video. Đúng hay sai?,Đúng,Sai,,,,,,,,
train_0289,3cb98350_545_clip_020_0148_0158_Y,/workspace/RoadBuddy/data/train/videos/3cb98350_545_clip_020_0148_0158_Y.mp4,Những biển báo nào xuất hiện trong video? Chọn đáp án đúng và đầy đủ nhất.,Biển tốc độ tối thiểu 60km/h; Biển hạn chế tải trọng 120 tấn.,Biển tốc độ tối đa 120km/h; Biển tốc độ tối thiểu 60km/h.,Biển tốc độ tối thiểu 120km/h; Biển hạn chế tải trọng 60 tấn.,Biển tải trọng tối đa 120 tấn; Biển tải trọng tối thiểu 60 tấn.,,,,,,
train_0290,3cb98350_545_clip_020_0148_0158_Y,/workspace/RoadBuddy/data/train/videos/3cb98350_545_clip_020_0148_0158_Y.mp4,Có bao nhiêu biển báo giao thông trong video?,0,1,2,3,,,,,,
